Venue,State,Lat,Lon
Albany,WA,-35.0247822,117.883608
Albion Park,QLD,-23.8388862,151.2412191
Albury,NSW,-36.0737734,146.9135265
Ararat,VIC,-37.2834165,142.9319447
Armidale,NSW,-30.5144881,151.6656564
Ballarat,VIC,-37.5623013,143.8605645
Bankstown,NSW,-33.9197875,151.0359369
Bathurst,NSW,-33.4166482,149.5803725
Bendigo,VIC,-36.7590183,144.2826718
Birchip,VIC,-35.9827621,142.9159408
Blayney,NSW,-33.6166368,149.1640565
Boort,VIC,-36.1177895,143.7222634
Bridgetown,WA,-33.9580685,116.137245
Broken Hill,NSW,-31.965,141.4511111
Bunbury,WA,-33.3267797,115.636698
Burnie,TAS,-41.0523688,145.9064073
Busselton,WA,-33.6473304,115.350399
Canberra,ACT,-35.2975906,149.1012676
Carrick,TAS,-41.5315005,147.0105617
Central Wheatbelt,WA,-31.4825028,118.2764109
Charlton,VIC,-36.26861,143.3518194
Cobram,VIC,-35.9197782,145.6484379
Collie,WA,-33.3591223,116.1536169
Coolamon,NSW,-34.5997239,147.1171221
Cowra,NSW,-33.8111285,148.6935649
Cranbourne,VIC,-38.0997308,145.2807256
Devonport,TAS,-41.1797561,146.3613011
Dubbo,NSW,-32.2478964,148.6026502
Echuca,VIC,-36.1281405,144.7516955
Eugowra,NSW,-33.4290506,148.3708456
Forbes,NSW,-33.378772,147.9534388
Gawler,SA,-34.5973311,138.7448933
Geelong,VIC,-38.1493248,144.3598241
Globe Derby Park,SA,-34.7955606,138.5922409
Gloucester Park,WA,-31.957111,115.8816761
Goulburn,NSW,-34.7523871,149.7198009
Griffith,NSW,-34.334545,146.0081042
Gunbower,VIC,-35.957385,144.3665973
Hamilton,VIC,-37.7433872,142.0242865
Hobart,TAS,-42.8825088,147.3281233
Horsham,VIC,-36.7148099,142.2018105
Junee,NSW,-34.8150256,147.672675
Kapunda,SA,-34.339951,138.915863
Kilcoy,QLD,-26.9417175,152.561157
Kilmore,VIC,-37.2922688,144.9510311
Launceston,TAS,-41.4340813,147.1373496
Leeton,NSW,-34.5297533,146.293258
Lockyer,QLD,-27.5063896,152.0691681
Maitland,NSW,-32.7316683,151.5511123
Marburg,QLD,-27.5620455,152.5839921
Maryborough,VIC,-37.0467582,143.7375721
Melton,VIC,-37.6835714,144.5828446
Menangle,NSW,-34.1277577,150.7383929
Mildura,VIC,-34.195274,142.1503146
Mount Gambier,SA,-37.8301386,140.7842627
Narrabri,NSW,-30.3278407,149.5571542
Narrogin,WA,-32.998452,117.2730436
Newcastle,NSW,-32.9192953,151.7795348
Northam,WA,-31.6535192,116.6726927
Ouyen,VIC,-35.0692193,142.3163729
Parkes,NSW,-32.8225409,147.9761363
Penrith,NSW,-33.7511954,150.6941711
Pinjarra,WA,-32.6318966,115.869247
Port Pirie,SA,-33.1791249,138.0058614
Redcliffe,QLD,-27.2268785,153.1129973
Scottsdale,TAS,-41.1603858,147.5147988
Shepparton,VIC,-36.3831633,145.3988874
South Australia,SA,-34.6032388,138.7128023
St Arnaud,VIC,-36.614998,143.255393
Stawell,VIC,-37.0586869,142.7745476
Strathalbyn,SA,-35.2576239,138.8956803
Swan Hill,VIC,-35.3390784,143.5588436
Tamworth,NSW,-31.0900743,150.9290159
Temora,NSW,-34.3830356,147.468586
Terang,VIC,-38.2467665,142.8768744
Victor Harbor,SA,-35.5545579,138.6234743
Wagga,NSW,-35.115,147.3677778
Wagin,WA,-33.2779075,117.3788569
Wangaratta,VIC,-36.356434,146.3228311
Warragul,VIC,-38.1588674,145.933629
Warwick,QLD,-28.2163204,152.0327039
Wedderburn,VIC,-36.4192187,143.6143424
West Wyalong,NSW,-33.923661,147.2050849
Williams,WA,-33.0510365,116.7865042
Yarra Valley,VIC,-37.7549851,145.522537
Young,NSW,-34.3129164,148.2955025
